Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C10_MVECS_1	5/269	4.318211e-02	2.934955e-01	2.926792e+00	9.196943e+00	GRB10;EGFL7;SOCS3;CHSY1;TCF4
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C11_HEPATOCYTES_1	1/298	8.822833e-01	9.249432e-01	6.997096e-01	8.763306e-02	SMIM14
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C13_LSECS_2	3/283	3.259706e-01	6.588473e-01	1.744466e+00	1.955456e+00	EGFL7;CALU;TCF4
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C14_HEPATOCYTES_2	1/226	8.020330e-01	8.855781e-01	9.254337e-01	2.041557e-01	SMIM14
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C18_NK_NKT_CELLS_5	1/121	5.789104e-01	7.778600e-01	1.734162e+00	9.479060e-01	TNFRSF1B
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C1_NK_NKT_CELLS_1	4/157	2.580689e-02	2.413703e-01	4.091166e+00	1.496186e+01	TNFRSF1B;ETS1;RESF1;ARHGAP25
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C20_LSECS_3	4/295	1.585357e-01	5.144321e-01	2.165719e+00	3.988768e+00	SOCS3;GRB10;CHSY1;TCF4
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C21_STELLATE_CELLS_1	4/194	4.975835e-02	3.150960e-01	3.306848e+00	9.922453e+00	MXRA7;DEPP1;SOCS3;TCF4
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C23_KUPFFER_CELLS_3	5/221	2.089766e-02	2.288077e-01	3.569524e+00	1.380734e+01	TNFRSF1B;GAS7;PREX1;LIMS1;LTA4H
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C24_EPCAM_POS_BILE_DUCT_CELLS_3	1/185	7.340581e-01	8.519360e-01	1.132271e+00	3.500611e-01	GTF2I
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C25_KUPFFER_CELLS_4	2/174	3.508790e-01	6.837805e-01	2.021156e+00	2.116784e+00	TNFRSF1B;LIMS1
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C28_NK_NKT_CELLS_6	2/99	1.562381e-01	5.104491e-01	3.557771e+00	6.604555e+00	ETS1;GATA3
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C29_MVECS_2	3/313	3.840478e-01	7.082573e-01	1.575181e+00	1.507430e+00	SOCS3;CHSY1;TCF4
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C2_KUPFFER_CELLS_1	2/200	4.163744e-01	7.237815e-01	1.756801e+00	1.539258e+00	TNFRSF1B;LIMS1
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C30_HEPATOCYTES_4	3/446	6.168265e-01	7.846033e-01	1.098662e+00	5.308379e-01	SELENOO;NUGGC;AP1M1
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C31_KUPFFER_CELLS_5	2/120	2.097164e-01	5.816189e-01	2.934709e+00	4.584012e+00	SELENOO;TNFRSF1B
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C32_MVECS_3	2/125	2.227350e-01	6.038791e-01	2.817094e+00	4.230634e+00	SOCS3;ZMYND8
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C33_STELLATE_CELLS_2	1/126	5.937396e-01	7.802033e-01	1.665208e+00	8.680968e-01	MXRA7
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C34_MHC_II_POS_B_CELLS	1/134	6.163949e-01	7.846033e-01	1.565545e+00	7.575161e-01	HSH2D
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C3_NK_NKT_CELLS_2	3/162	1.085976e-01	4.503626e-01	3.061711e+00	6.797324e+00	ETS1;GATA3;RESF1
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C4_EPCAM_POS_BILE_DUCT_CELLS_1	1/191	7.452918e-01	8.587057e-01	1.096470e+00	3.223398e-01	GTF2I
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C5_NK_NKT_CELLS_3	2/126	2.253469e-01	6.038791e-01	2.794687e+00	4.164402e+00	CCND2;ETS1
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C6_KUPFFER_CELLS_2	5/228	2.352693e-02	2.337989e-01	3.458974e+00	1.296980e+01	TNFRSF1B;CYBA;MGAT1;LIMS1;CREG1
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C7_EPCAM_POS_BILE_DUCT_CELLS_2	1/219	7.917917e-01	8.803838e-01	9.552774e-01	2.230161e-01	GTF2I
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C9_LSECS_1	5/304	6.599501e-02	3.766483e-01	2.585880e+00	7.028876e+00	GRB10;CALU;EGFL7;SOCS3;TCF4
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_DUODENAL_DIFFERENTIATING_STEM_CELLS	2/305	6.402635e-01	7.994914e-01	1.147003e+00	5.114204e-01	CCND2;MLEC
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_DUODENAL_IMMUNE_CELLS	13/911	1.306762e-02	1.833310e-01	2.180534e+00	9.458322e+00	TAB2;CCND2;ETS1;CYBA;CMTM3;PREX1;ARHGAP25;CHSY1;LIMS1;GATA3;RESF1;UBAC2;INPP5D
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_DUODENAL_K_CELLS	2/20	8.751102e-03	1.439405e-01	1.733534e+01	8.214484e+01	SOCS3;DEPP1
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_DUODENAL_MX_CELLS	1/13	8.851233e-02	4.024842e-01	1.569050e+01	3.804341e+01	DEPP1
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_DUODENAL_STEM_CELLS	3/311	3.802000e-01	7.056630e-01	1.585452e+00	1.533224e+00	LRIG1;CCND2;MLEC
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_DUODENAL_TRANSIT_AMPLIFYING_CELLS	1/194	7.507306e-01	8.587494e-01	1.079398e+00	3.094725e-01	MLEC
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_DUODENAL_TUFT_CELLS	1/81	4.392151e-01	7.361814e-01	2.590379e+00	2.131276e+00	FARP2
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_ESOPHAGEAL_DENDRITIC_CELLS	4/214	6.646854e-02	3.766483e-01	2.995552e+00	8.121021e+00	ZMIZ1;RYBP;CCND2;INPP5D
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_ESOPHAGEAL_QUIESCENT_BASAL_CELLS	1/77	4.229347e-01	7.283027e-01	2.724612e+00	2.344631e+00	SOCS3
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_GASTRIC_D_CELLS	1/28	1.810122e-01	5.504148e-01	7.426880e+00	1.269396e+01	DEPP1
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_GASTRIC_G_CELLS	3/98	3.271293e-02	2.637198e-01	5.067005e+00	1.732908e+01	DEPP1;INSM1;PEMT
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_GASTRIC_IMMUNE_CELLS	20/1492	4.440386e-03	1.059032e-01	2.071410e+00	1.122086e+01	TAB2;TESPA1;RESF1;CCND2;ETS1;CYBA;ZNF831;TNFRSF1B;PREX1;ARHGAP25;MXRA7;PTPRJ;MGAT1;LIMS1;AP1M1;INPP5D;CMTM3;BATF;CHSY1;GATA3
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_GASTRIC_ISTHMUS_CELLS	3/458	6.347632e-01	7.967949e-01	1.069265e+00	4.859842e-01	LFNG;SMIM14;MLEC
